,YEAROCC,Violence,Property,Homicide,Assaults,Robbery,Shootings,Burglary,MV Theft,Rape,Weapons,Drugs,Sex,y,x
400249,2003.0,1.0,,,,1.0,,,,,,,,37.7966,-122.233084
400250,2003.0,,1.0,,,,,,1.0,,,,,37.788038,-122.226772
400251,2003.0,,1.0,,,,,,1.0,,,,,37.727576,-122.173077
400252,2003.0,,1.0,,,,,,1.0,,,,,37.728862,-122.19793200000001
400253,2003.0,,1.0,,,,,,1.0,,,,,37.728862,-122.19793200000001
400255,2003.0,,1.0,,,,,,,,,,,37.737331,-122.201121
400256,2003.0,1.0,,,1.0,,1.0,,,,,,,37.741392,-122.17606799999999
400257,2003.0,,1.0,,,,,,1.0,,,,,37.742064,-122.194791
400258,2003.0,,1.0,,,,,,1.0,,,,,37.742612,-122.19395300000001
400259,2003.0,,1.0,,,,,1.0,,,,,,37.741566,-122.156722
400260,2003.0,,1.0,,,,,1.0,,,,,,37.742168,-122.15151200000001
400261,2003.0,,1.0,,,,,,1.0,,,,,37.741983000000005,-122.15936299999998
400262,2003.0,,1.0,,,,,1.0,,,,,,37.746302,-122.181823
400263,2003.0,1.0,,,1.0,,,,,,,,,37.75465,-122.17841000000001
400264,2003.0,,1.0,,,,,,1.0,,,,,37.761228,-122.17288700000002
400265,2003.0,,1.0,,,,,1.0,,,,,,37.76093,-122.179432
400266,2003.0,,1.0,,,,,1.0,,,,,,37.764875,-122.178339
400267,2003.0,,1.0,,,,,1.0,,,,,,37.77512,-122.226529
400268,2003.0,,1.0,,,,,,1.0,,,,,37.779025,-122.220729
400269,2003.0,,1.0,,,,,1.0,,,,,,37.782978,-122.203952
400270,2003.0,,1.0,,,,,,1.0,,,,,37.783074,-122.20266699999999
400271,2003.0,,1.0,,,,,1.0,,,,,,37.78765,-122.21328600000001
400272,2003.0,,1.0,,,,,,1.0,,,,,37.788270000000004,-122.20738999999999
400273,2003.0,,1.0,,,,,,1.0,,,,,37.778729,-122.18906000000001
400274,2003.0,,1.0,,,,,1.0,,,,,,37.784997,-122.18506399999998
400275,2003.0,,1.0,,,,,1.0,,,,,,37.787022,-122.190055
400276,2003.0,,1.0,,,,,1.0,,,,,,37.78929,-122.18766200000002
400277,2003.0,,1.0,,,,,1.0,,,,,,37.774712,-122.16454099999999
400278,2003.0,,1.0,,,,,,1.0,,,,,37.79166,-122.2472
400279,2003.0,,1.0,,,,,,1.0,,,,,37.79373,-122.239476
400280,2003.0,,1.0,,,,,1.0,,,,,,37.796149,-122.261334
400281,2003.0,1.0,,,,1.0,,,,,,,,37.797944,-122.25743200000001
400282,2003.0,1.0,,,,1.0,,,,,,,,37.797944,-122.25743200000001
400283,2003.0,,1.0,,,,,1.0,,,,,,37.801703,-122.251972
400284,2003.0,,1.0,,,,,1.0,,,,,,37.802868,-122.25328400000001
400285,2003.0,,1.0,,,,,,1.0,,,,,37.803964,-122.246329
400286,2003.0,,1.0,,,,,,1.0,,,,,37.805640000000004,-122.28978000000001
400287,2003.0,,1.0,,,,,1.0,,,,,,37.805811,-122.269768
400288,2003.0,,1.0,,,,,1.0,,,,,,37.806858,-122.24353500000001
400289,2003.0,1.0,,,,1.0,,,,,,,,37.806129999999996,-122.270358
400291,2003.0,,1.0,,,,,,1.0,,,,,37.811669,-122.255145
400292,2003.0,1.0,,,,1.0,,,,,,,,37.81382,-122.28106899999999
400293,2003.0,1.0,,,1.0,,,,,,,,,37.814985,-122.27206699999999
400294,2003.0,,1.0,,,,,1.0,,,,,,37.823082,-122.252545
400295,2003.0,1.0,,,1.0,,1.0,,,,,,,37.8244,-122.28318
400296,2003.0,,1.0,,,,,,,,,,,37.826946,-122.261573
400297,2003.0,,1.0,,,,,,,,,,,37.82718,-122.256033
400298,2003.0,,1.0,,,,,,1.0,,,,,37.833803,-122.25913500000001
400299,2003.0,1.0,,,1.0,,,,,,,,,37.834921,-122.27446100000002
400300,2003.0,,1.0,,,,,1.0,,,,,,37.835612,-122.27288600000001
400301,2003.0,,1.0,,,,,,,,,,,37.836894,-122.262447
400302,2003.0,,1.0,,,,,1.0,,,,,,37.84244,-122.229129
400303,2003.0,,1.0,,,,,1.0,,,,,,37.79249,-122.21919
400304,2003.0,,1.0,,,,,,1.0,,,,,37.797221,-122.18548200000001
400305,2003.0,,1.0,,,,,1.0,,,,,,37.802448999999996,-122.21346000000001
400306,2003.0,,1.0,,,,,,1.0,,,,,37.81086,-122.21283999999999
400313,2003.0,1.0,,,1.0,,,,,,,,,37.7583,-122.195
400314,2003.0,1.0,,,1.0,,,,,,,,,37.8202,-122.264
400315,2003.0,1.0,,,1.0,,,,,,,,,37.7741,-122.178
400318,2003.0,1.0,,,1.0,,,,,,,,,37.7883,-122.249
400319,2003.0,,1.0,,,,,,1.0,,,,,37.8055,-122.18799999999999
400321,2003.0,,1.0,,,,,,1.0,,,,,37.7898,-122.185
400323,2003.0,,1.0,,,,,1.0,,,,,,37.780689,-122.234527
400325,2003.0,,1.0,,,,,,1.0,,,,,37.739525,-122.184219
400327,2003.0,,1.0,,,,,1.0,,,,,,37.739965000000005,-122.16253400000001
400328,2003.0,,1.0,,,,,1.0,,,,,,37.747485,-122.179915
400329,2003.0,,1.0,,,,,1.0,,,,,,37.7513,-122.180815
400330,2003.0,,1.0,,,,,1.0,,,,,,37.759522,-122.16635600000001
400331,2003.0,,1.0,,,,,,1.0,,,,,37.761963,-122.19344
400332,2003.0,1.0,,,,1.0,,,,,,,,37.77597,-122.22261999999999
400333,2003.0,1.0,,,,1.0,,,,,,,,37.777640999999996,-122.224527
400334,2003.0,,1.0,,,,,,1.0,,,,,37.7781,-122.22425
400335,2003.0,,1.0,,,,,,1.0,,,,,37.785521,-122.210776
400336,2003.0,,1.0,,,,,,1.0,,,,,37.789483000000004,-122.219109
400337,2003.0,,1.0,,,,,,1.0,,,,,37.770092,-122.186952
400338,2003.0,,1.0,,,,,1.0,,,,,,37.788998,-122.19169199999999
400339,2003.0,1.0,,,,1.0,,,,,,,,37.790409999999994,-122.197946
400340,2003.0,,1.0,,,,,,1.0,,,,,37.792557,-122.19379199999999
400341,2003.0,,1.0,,,,,1.0,,,,,,37.756465000000006,-122.16300700000001
400342,2003.0,,1.0,,,,,,1.0,,,,,37.807621999999995,-122.279531
400343,2003.0,,1.0,,,,,,,,,,,37.796006,-122.23752900000001
400344,2003.0,,1.0,,,,,1.0,,,,,,37.79661,-122.249315
400345,2003.0,1.0,,,,1.0,,,,,,,,37.797979999999995,-122.26524199999999
400346,2003.0,,1.0,,,,,,1.0,,,,,37.803964,-122.246329
400347,2003.0,1.0,,1.0,,,,,,,,,,37.804208,-122.28469299999999
400348,2003.0,1.0,,,,1.0,,,,,,,,37.805217,-122.291436
400349,2003.0,1.0,,1.0,,,,,,,,,,37.808937,-122.26468899999999
400350,2003.0,,1.0,,,,,,1.0,,,,,37.80972,-122.273853
400351,2003.0,1.0,,,1.0,,,,,,,,,37.81021,-122.28638000000001
400352,2003.0,,1.0,,,,,,1.0,,,,,37.811802,-122.251498
400353,2003.0,1.0,,,,1.0,,,,,,,,37.811946999999996,-122.278728
400354,2003.0,1.0,,,,1.0,,,,,,,,37.814728,-122.269277
400355,2003.0,,1.0,,,,,,1.0,,,,,37.816112,-122.258544
400356,2003.0,,1.0,,,,,,,,,,,37.825765000000004,-122.281368
400357,2003.0,,1.0,,,,,1.0,,,,,,37.826271000000006,-122.25220800000001
400358,2003.0,,1.0,,,,,1.0,,,,,,37.832104,-122.263084
400359,2003.0,,1.0,,,,,,,,,,,37.834595,-122.249725
400360,2003.0,,1.0,,,,,,,,,,,37.835409999999996,-122.25246000000001
400361,2003.0,1.0,,,,1.0,,,,,,,,37.836644,-122.25820300000001
400362,2003.0,1.0,,,1.0,,,,,,,,,37.841353999999995,-122.26433300000001
400363,2003.0,,1.0,,,,,,1.0,,,,,37.847288,-122.237068
400364,2003.0,,1.0,,,,,1.0,,,,,,37.794990000000006,-122.18383500000002
400365,2003.0,,1.0,,,,,1.0,,,,,,37.794833000000004,-122.21498100000001
400366,2003.0,,1.0,,,,,1.0,,,,,,37.795579,-122.17634699999999
400367,2003.0,,1.0,,,,,,1.0,,,,,37.797073,-122.201944
400368,2003.0,,1.0,,,,,1.0,,,,,,37.79914,-122.170849
400369,2003.0,,1.0,,,,,1.0,,,,,,37.84237,-122.226023
400372,2003.0,1.0,,,1.0,,,,,,,,,37.8454,-122.266
400375,2003.0,1.0,,,1.0,,,,,,,,,37.7806,-122.191
400376,2003.0,1.0,,,1.0,,,,,,,,,37.8295,-122.20200000000001
400378,2003.0,1.0,,,1.0,,,,,,,,,37.8372,-122.273
400379,2003.0,1.0,,,1.0,,,,,,,,,37.8043,-122.31200000000001
400382,2003.0,,1.0,,,,,1.0,,,,,,37.782945,-122.24117199999999
400383,2003.0,,1.0,,,,,,1.0,,,,,37.790801,-122.239428
400384,2003.0,,1.0,,,,,,1.0,,,,,37.728862,-122.19793200000001
400385,2003.0,,1.0,,,,,,1.0,,,,,37.755921,-122.201029
400386,2003.0,,1.0,,,,,1.0,,,,,,37.74564,-122.1719
400387,2003.0,,1.0,,,,,,1.0,,,,,37.749401,-122.172875
400388,2003.0,1.0,,,,1.0,,,,,,,,37.75055,-122.1755
400389,2003.0,,1.0,,,,,,1.0,,,,,37.753003,-122.183489
400390,2003.0,,1.0,,,,,,1.0,,,,,37.755187,-122.17388700000001
400391,2003.0,1.0,,,,1.0,,,,,,,,37.765935999999996,-122.176882
400392,2003.0,,1.0,,,,,1.0,,,,,,37.767093,-122.174122
400393,2003.0,,1.0,,,,,1.0,,,,,,37.768471000000005,-122.211716
400394,2003.0,1.0,,,,1.0,,,,,,,,37.769589,-122.20006299999999
400395,2003.0,,1.0,,,,,1.0,,,,,,37.775659999999995,-122.22193
400396,2003.0,,1.0,,,,,1.0,,,,,,37.776759999999996,-122.21549099999999
400397,2003.0,,1.0,,,,,,1.0,,,,,37.776540000000004,-122.21727
400398,2003.0,,1.0,,,,,,1.0,,,,,37.78208,-122.20598899999999
400399,2003.0,1.0,,,,1.0,,,,,,,,37.78183,-122.21928999999999
400400,2003.0,,1.0,,,,,1.0,,,,,,37.783289,-122.220541
400401,2003.0,1.0,,,,1.0,,,,,,,,37.785496,-122.221721
400402,2003.0,,1.0,,,,,,1.0,,,,,37.787999,-122.22268999999999
400403,2003.0,,1.0,,,,,,1.0,,,,,37.792123,-122.22231399999998
400404,2003.0,,1.0,,,,,1.0,,,,,,37.791993,-122.222082
400405,2003.0,,1.0,,,,,1.0,,,,,,37.768758,-122.190375
400406,2003.0,,1.0,,,,,1.0,,,,,,37.770022,-122.183155
400407,2003.0,,1.0,,,,,1.0,,,,,,37.779907,-122.19292800000001
400408,2003.0,,1.0,,,,,,1.0,,,,,37.782949,-122.172572
400409,2003.0,,1.0,,,,,,1.0,,,,,37.790932,-122.1931
400410,2003.0,,1.0,,,,,1.0,,,,,,37.791263,-122.19483999999999
400411,2003.0,,1.0,,,,,,1.0,,,,,37.754618,-122.162851
400412,2003.0,,1.0,,,,,1.0,,,,,,37.755584000000006,-122.161273
400413,2003.0,,1.0,,,,,,1.0,,,,,37.792609000000006,-122.24467299999999
400414,2003.0,,1.0,,,,,,,,,,,37.79295,-122.25511999999999
400415,2003.0,,1.0,,,,,,1.0,,,,,37.794028000000004,-122.23588899999999
400416,2003.0,,1.0,,,,,,1.0,,,,,37.794692,-122.245921
400418,2003.0,,1.0,,,,,,1.0,,,,,37.799619,-122.248911
400419,2003.0,,1.0,,,,,,1.0,,,,,37.800327,-122.241133
400420,2003.0,,1.0,,,,,,1.0,,,,,37.80128,-122.25401000000001
400421,2003.0,1.0,,,,1.0,,,,,,,,37.802387,-122.239529
400422,2003.0,,1.0,,,,,,1.0,,,,,37.807266,-122.244171
400423,2003.0,1.0,,,,1.0,,,,,,,,37.81074,-122.28151000000001
400424,2003.0,,1.0,,,,,,,,,,,37.812134,-122.27231299999998
400425,2003.0,,1.0,,,,,1.0,,,,,,37.812733,-122.272306
400426,2003.0,,1.0,,,,,1.0,,,,,,37.813472,-122.265115
400427,2003.0,,1.0,,,,,,1.0,,,,,37.813972,-122.252844
400428,2003.0,1.0,,,,1.0,,,,,,,,37.813524,-122.268648
400429,2003.0,,1.0,,,,,,1.0,,,,,37.818317,-122.28837299999999
400430,2003.0,,1.0,,,,,,1.0,,,,,37.813565999999994,-122.25678700000002
400431,2003.0,,1.0,,,,,1.0,,,,,,37.816431,-122.25346100000002
400432,2003.0,,1.0,,,,,1.0,,,,,,37.818166,-122.28060500000001
400433,2003.0,,1.0,,,,,1.0,,,,,,37.82484,-122.25545
400435,2003.0,,1.0,,,,,1.0,,,,,,37.82759,-122.26391699999999
400436,2003.0,1.0,,,1.0,,,,,,,,,37.827535,-122.288726
400437,2003.0,1.0,,,1.0,,1.0,,,,,,,37.807049,-122.240733
400438,2003.0,,1.0,,,,,1.0,,,,,,37.82806,-122.274499
400439,2003.0,,1.0,,,,,,1.0,,,,,37.829291999999995,-122.26507
400440,2003.0,1.0,,,,1.0,,,,,,,,37.829721,-122.26768999999999
400441,2003.0,,1.0,,,,,,1.0,,,,,37.839182,-122.255769
400442,2003.0,,1.0,,,,,,1.0,,,,,37.842994,-122.28407800000001
400443,2003.0,,1.0,,,,,,1.0,,,,,37.84511,-122.26678999999999
400444,2003.0,,1.0,,,,,1.0,,,,,,37.79287,-122.21898
400445,2003.0,,1.0,,,,,,1.0,,,,,37.793501,-122.212223
400447,2003.0,,1.0,,,,,,1.0,,,,,37.798201,-122.211366
400448,2003.0,,1.0,,,,,1.0,,,,,,37.801358,-122.178142
400449,2003.0,,1.0,,,,,1.0,,,,,,37.801087,-122.22676000000001
400450,2003.0,,1.0,,,,,,,,,,,37.808128,-122.222854
400451,2003.0,,1.0,,,,,1.0,,,,,,37.81285,-122.20871000000001
400452,2003.0,,1.0,,,,,1.0,,,,,,37.822371000000004,-122.20996000000001
400453,2003.0,1.0,,,,1.0,,,,,,,,37.82699,-122.21112
400454,2003.0,1.0,,,1.0,,,,,,,,,37.8334,-122.26100000000001
400460,2003.0,1.0,,,1.0,,,,,,,,,37.8372,-122.273
