YEAROCC,Violence,Property,Homicide,Assaults,Robbery,Shootings,Burglary,MV Theft,Rape,Weapons,Drugs,Sex,y,x
2009.0,,,,,,,,,,,1.0,,37.812687,-122.268859
2009.0,,,,,,,,,,,1.0,,37.812687,-122.268859
2009.0,,,,,,,,,,,,1.0,37.773879,-122.21791100000002
2009.0,,,,,,,,,,1.0,,,37.771466,-122.1935
2009.0,,,,,,,,,,,1.0,,37.775384,-122.22393799999999
2009.0,,,,,,,,,,,1.0,,37.788551,-122.242337
2009.0,,,,,,,,,,,1.0,,37.817541999999996,-122.277469
2009.0,,,,,,,,,,,1.0,,37.817541999999996,-122.277469
2009.0,,,,,,,,,,,1.0,,37.750513,-122.16295900000001
2009.0,,,,,,,,,,1.0,,,37.777640000000005,-122.225751
2009.0,,,,,,,,,,1.0,,,37.777640000000005,-122.225751
2009.0,,,,,,,,,,,,1.0,37.770922,-122.211032
2009.0,,1.0,,,,,,,,,,,37.78071,-122.242782
2009.0,,1.0,,,,,1.0,,,,,,37.774651,-122.18026100000002
2009.0,,1.0,,,,,,1.0,,,,,37.819213,-122.256947
2009.0,,1.0,,,,,1.0,,,,,,37.803028999999995,-122.21472299999999
2009.0,,1.0,,,,,1.0,,,,,,37.828437,-122.25020900000001
2009.0,,1.0,,,,,,,,,,,,
2009.0,,1.0,,,,,,,,,,,37.746289000000004,-122.12448
2009.0,,1.0,,,,,1.0,,,,,,37.829017,-122.24906499999999
2009.0,,1.0,,,,,1.0,,,,,,37.765095,-122.19571299999998
2009.0,1.0,,,1.0,,,,,,,,,37.780848,-122.23102
2009.0,,1.0,,,,,1.0,,,,,,37.735873,-122.18833899999998
2009.0,,1.0,,,,,1.0,,,,,,37.79657,-122.23858999999999
2009.0,,1.0,,,,,1.0,,,,,,37.791261,-122.21935400000001
2009.0,,1.0,,,,,1.0,,,,,,37.740534999999994,-122.193921
2009.0,,1.0,,,,,,1.0,,,,,37.842164000000004,-122.28469299999999
2009.0,,1.0,,,,,1.0,,,,,,37.824184,-122.274346
2009.0,1.0,,1.0,,,,,,,,,,37.771064,-122.18668500000001
2009.0,,1.0,,,,,,,,,,,37.771064,-122.18668500000001
2009.0,,1.0,,,,,,1.0,,,,,37.771064,-122.18668500000001
2009.0,,1.0,,,,,1.0,,,,,,37.796551,-122.20265900000001
2009.0,,1.0,,,,,1.0,,,,,,37.730183000000004,-122.18211699999999
2009.0,,1.0,,,,,,,,,,,37.745,-122.156178
2009.0,,1.0,,,,,,,,,,,37.839645000000004,-122.282564
2009.0,,1.0,,,,,1.0,,,,,,37.772412,-122.16619399999999
2009.0,,1.0,,,,,,,,,,,37.772412,-122.16619399999999
2009.0,,1.0,,,,,1.0,,,,,,37.806531,-122.20806999999999
2009.0,,1.0,,,,,,,,,,,37.803958,-122.26997
2009.0,1.0,,,,1.0,,,,,,,,37.771871000000004,-122.21371
2009.0,1.0,,,,1.0,,,,,,,,37.767390999999996,-122.16962099999999
2009.0,1.0,,,1.0,,1.0,,,,,,,37.769058,-122.207901
2009.0,,1.0,,,,,,,,,,,37.796043,-122.278617
2009.0,,1.0,,,,,1.0,,,,,,37.824768,-122.287582
2009.0,,1.0,,,,,,1.0,,,,,37.767033000000005,-122.183576
2009.0,,1.0,,,,,,,,,,,37.82977,-122.270169
2009.0,,1.0,,,,,,1.0,,,,,37.747553,-122.196228
2009.0,,1.0,,,,,,1.0,,,,,37.784769,-122.221929
2009.0,,1.0,,,,,,,,,,,37.788883,-122.218329
2009.0,1.0,,,1.0,,,,,,,,,37.821446,-122.280373
2009.0,,1.0,,,,,1.0,,,,,,37.735392,-122.18590400000001
2009.0,,1.0,,,,,,,,,,,37.806893,-122.27552
2009.0,,,,,,,,,,,1.0,,37.817541999999996,-122.277469
2009.0,,,,,,,,,,,1.0,,37.750513,-122.16295900000001
2009.0,,,,,,,,,,,1.0,,37.817541999999996,-122.277469
2009.0,,,,,,,,,,,1.0,,37.775384,-122.22393799999999
2009.0,,,,,,,,,,,1.0,,37.788551,-122.242337
2009.0,,,,,,,,,,,1.0,,37.745523,-122.15513
2009.0,,,,,,,,,,,1.0,,37.745523,-122.15513
2009.0,,,,,,,,,,1.0,,,37.805217,-122.291436
2009.0,,,,,,,,,,1.0,,,37.777640000000005,-122.225751
2009.0,,,,,,,,,,1.0,,,37.777640000000005,-122.225751
2009.0,,,,,,,,,,1.0,,,37.771466,-122.1935
2009.0,1.0,,,,1.0,,,,,,,,37.771871000000004,-122.21371
2009.0,1.0,,,,1.0,,,,,,,,37.767390999999996,-122.16962099999999
2009.0,1.0,,,1.0,,,,,,,,,37.821446,-122.280373
2009.0,1.0,,,1.0,,1.0,,,,,,,37.769058,-122.207901
2009.0,1.0,,,1.0,,1.0,,,,,,,37.764136,-122.195066
2009.0,,1.0,,,,,,,,,,,37.859713,-122.232519
2009.0,,1.0,,,,,1.0,,,,,,37.79657,-122.23858999999999
2009.0,,1.0,,,,,1.0,,,,,,37.765095,-122.19571299999998
2009.0,,1.0,,,,,1.0,,,,,,37.729233,-122.1948
2009.0,,1.0,,,,,1.0,,,,,,37.732316,-122.193106
2009.0,,1.0,,,,,1.0,,,,,,37.742486,-122.154374
2009.0,,1.0,,,,,1.0,,,,,,37.801618,-122.20126200000001
2009.0,,1.0,,,,,,,,,,,37.778758,-122.22743899999999
2009.0,,1.0,,,,,1.0,,,,,,37.824768,-122.287582
2009.0,,1.0,,,,,1.0,,,,,,37.772412,-122.16619399999999
2009.0,,1.0,,,,,1.0,,,,,,37.746035,-122.138698
2009.0,,1.0,,,,,1.0,,,,,,37.806531,-122.20806999999999
2009.0,,1.0,,,,,1.0,,,,,,37.735873,-122.18833899999998
2009.0,,1.0,,,,,,,,,,,37.79793,-122.27226200000001
2009.0,,1.0,,,,,,,,,,,37.795871000000005,-122.25106299999999
2009.0,,1.0,,,,,1.0,,,,,,37.731615000000005,-122.17858999999999
2009.0,,1.0,,,,,1.0,,,,,,37.737747,-122.184293
